TYPE;GEO_LAT;GEO_LNG;DESCRIPTION
3;54.0746292;12.0072595;Unterflurhydrant (H150)
6;54.049739;12.1427209;Zisterne / Sonstiges
6;54.0506099;12.1366676;Zisterne / Sonstiges
6;54.0589306;12.1524404;Zisterne / Sonstiges
1;54.0637988;12.1559234;Unterflurhydrant (H80)
2;54.037453;12.1297228;Unterflurhydrant (H100)
6;54.0373757;12.1282317;Zisterne / Sonstiges
6;54.0366797;12.1322846;Zisterne / Sonstiges
6;54.0296443;12.1337706;Zisterne / Sonstiges
1;54.1300961;11.9974914;Unterflurhydrant (H80) - Höhe Durchgang Privatstraße
3;54.132692;11.9961757;Unterflurhydrant (H150)
2;54.1072424;12.0206266;Unterflurhydrant (H100)
3;54.1093414;12.0166037;Unterflurhydrant (H150)
2;54.1020379;12.0161458;Unterflurhydrant (H100)
3;54.1034606;12.0177746;Unterflurhydrant (H150)
8;54.109033;12.0216996;Unterflurhydrant (H200)
8;54.1086892;12.0252263;Unterflurhydrant (H200)
12;54.1073124;12.0271295;Überflurhydrant (H150)
3;54.108682;12.0352886;Unterflurhydrant (H150)
12;54.105416;12.0322309;Überflurhydrant (H150)
3;54.1009852;12.0145679;Unterflurhydrant (H150)
8;54.1096958;12.014549;Unterflurhydrant (H200)
8;54.1092524;12.0192912;Unterflurhydrant (H200)
9;54.1082381;12.0276544;Unterflurhydrant (H300)
2;54.1073643;12.0262072;Unterflurhydrant (H100)
1;54.1061955;12.0255729;Unterflurhydrant (H80)
1;54.1062551;12.0230945;Unterflurhydrant (H80)
1;54.1067394;12.0214691;Unterflurhydrant (H80)
2;54.1070759;12.0216837;Unterflurhydrant (H100)
2;54.1070665;12.0222469;Unterflurhydrant (H100)
2;54.1073087;12.0242591;Unterflurhydrant (H100)
2;54.1078527;12.0240553;Unterflurhydrant (H100)
2;54.1062802;12.0263239;Unterflurhydrant (H100)
8;54.1084441;12.0283731;Unterflurhydrant (H200)
4;54.1079439;12.027842;Überflurhydrant
12;54.1070352;12.0293763;Überflurhydrant (H150)
12;54.1070163;12.0286038;Überflurhydrant (H150)
12;54.1065918;12.0305993;Überflurhydrant (H150)
12;54.1055256;12.0307656;Überflurhydrant (H150)
12;54.1050695;12.0335659;Überflurhydrant (H150)
12;54.1049215;12.0369937;Überflurhydrant (H150)
12;54.1048744;12.035283;Überflurhydrant (H150)
12;54.1055633;12.037042;Überflurhydrant (H150)
11;54.1065318;12.0381471;Überflurhydrant (H100)
2;54.1064031;12.0370152;Unterflurhydrant (H100)
2;54.1065666;12.0355453;Unterflurhydrant (H100)
2;54.1070388;12.0345872;Unterflurhydrant (H100)
12;54.1070163;12.032316;Überflurhydrant (H150)
12;54.1071357;12.0308574;Überflurhydrant (H150)
9;54.1080447;12.0296177;Unterflurhydrant (H300)
9;54.1079378;12.0311572;Unterflurhydrant (H300)
9;54.1078026;12.03267;Unterflurhydrant (H300)
9;54.1076359;12.034156;Unterflurhydrant (H300)
9;54.1075636;12.0356634;Unterflurhydrant (H300)
9;54.1074252;12.0377233;Unterflurhydrant (H300)
9;54.1072365;12.0386782;Unterflurhydrant (H300)
3;54.1111139;12.0355561;Unterflurhydrant (H150)
